**************************************************
SharedInfo: 0xbf9ac5e0, SessionId: 0 Shared delta: 0
aheList: 0xbbd10000, Table size: 0x3000, Entry size: 0xc

Object(V)      Handle bType                 Flags    Thread  Process
0xbbe3bd30    0x1008e TYPE_WINDOW             0       1832   1752
0xe1797c68    0x1008f TYPE_CURSOR             0     -------- 1752
0xbbe3be48    0x10090 TYPE_WINDOW             0       1756   1752
0xbbe3e6e8    0x70091 TYPE_HOOK               0       1916   1912
0xbbe3bfe8    0x40092 TYPE_WINDOW             0       1832   1752
0xbbe3c120    0x40094 TYPE_WINDOW             0       1832   1752
0xe1596818    0x10095 TYPE_TIMER              0     -------- -
0xbbe534a0    0x40096 TYPE_WINDOW             0       1832   1752
0xe1de0c48    0x10097 TYPE_TIMER              0     -------- -
0xbbe33580    0x40098 TYPE_WINDOW             0       1832   1752
0xbbe3b2c0    0x20099 TYPE_INPUTCONTEXT       0       1852   1752
0xbbe3c510    0x1009a TYPE_WINDOW             0       1756   1752
0xe180b260  0x125009b TYPE_CURSOR             0     -------- 1752
0xbbe3c5c0    0x1009c TYPE_WINDOW             0       1756   1752
0xe192ef38    0x2009d TYPE_ACCELTABLE         0     -------- 1752
0xbbe3c670    0x1009e TYPE_WINDOW             0       1756   1752
0xbbe3e6b0    0x6009f TYPE_HOOK               0       1916   1912
0xbbe3c720    0x100a0 TYPE_WINDOW             0       1756   1752
0xbbe50ee0    0x500a1 TYPE_INPUTCONTEXT       0       616    1752
0xbbe3c7f0    0x100a2 TYPE_WINDOW             0       1756   1752
0xbc1424d0   0x1600a3 TYPE_INPUTCONTEXT       0       3764   1076
0xbbe3c8c8    0x100a4 TYPE_WINDOW             0       1756   1752
0xbbe3bf18    0x100a5 TYPE_INPUTCONTEXT       0       1840   1752
0xbbe487b8    0x100a6 TYPE_WINDOW             0       1892   1888
0xe193a9a8    0x100a7 TYPE_ACCELTABLE         0     -------- 1752
0xbbe48868    0x100a8 TYPE_WINDOW             0       1892   1888
0xbbe72400   0x2a00a9 TYPE_INPUTCONTEXT       0       532    200
0xbbe48920    0x100aa TYPE_WINDOW             0       1892   1888
0xe15fa528    0x100ab TYPE_ACCELTABLE         0     -------- 1752
