[x86] Gathering all referenced SSDTs from KTHREADs...
  Entry 0x0060: 0x8059a710 (NtListenPort) owned by ntoskrnl.exe
  Entry 0x0061: 0x805795fa (NtLoadDriver) owned by ntoskrnl.exe
  Entry 0x0062: 0x8061c568 (NtLoadKey) owned by ntoskrnl.exe
  Entry 0x0063: 0x8061c174 (NtLoadKey2) owned by ntoskrnl.exe
  Entry 0x0064: 0x8056e51c (NtLockFile) owned by ntoskrnl.exe
  Entry 0x0065: 0x806096da (NtLockProductActivationKeys) owned by ntoskrnl.exe
  Entry 0x0066: 0x8061a214 (NtLockRegistryKey) owned by ntoskrnl.exe
  Entry 0x0067: 0x805abfc0 (NtLockVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0068: 0x805b516e (NtMakePermanentObject) owned by ntoskrnl.exe
  Entry 0x0069: 0x805b1d5e (NtMakeTemporaryObject) owned by ntoskrnl.exe
  Entry 0x006a: 0x805aa922 (NtMapUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x006b: 0x805aaefa (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x006c: 0x805a74f0 (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x006d: 0x8060d12a (NtModifyBootEntry) owned by ntoskrnl.exe
  Entry 0x006e: 0x8056f14c (NtNotifyChangeDirectoryFile) owned by ntoskrnl.exe
  Entry 0x006f: 0x8061c532 (NtNotifyChangeKey) owned by ntoskrnl.exe
  Entry 0x0070: 0x8061b166 (NtNotifyChangeMultipleKeys) owned by ntoskrnl.exe
  Entry 0x0071: 0x805b3dc0 (NtOpenDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0072: 0x806052ce (NtOpenEvent) owned by ntoskrnl.exe
  Entry 0x0073: 0x8060d548 (NtOpenEventPair) owned by ntoskrnl.exe
  Entry 0x0074: 0x8056f40c (NtOpenFile) owned by ntoskrnl.exe
  Entry 0x0075: 0x8056dda4 (NtOpenIoCompletion) owned by ntoskrnl.exe
  Entry 0x0076: 0x805cba8e (NtOpenJobObject) owned by ntoskrnl.exe
  Entry 0x0077: 0x8061b722 (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0078: 0x8060d940 (NtOpenMutant) owned by ntoskrnl.exe
  Entry 0x0079: 0x805ea79c (NtOpenObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x007a: 0x805c1316 (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x007b: 0x805e3a7c (NtOpenProcessToken) owned by ntoskrnl.exe
  Entry 0x007c: 0x805e36e0 (NtOpenProcessTokenEx) owned by ntoskrnl.exe
  Entry 0x007d: 0x8059f792 (NtOpenSection) owned by ntoskrnl.exe
  Entry 0x007e: 0x8060b2fe (NtOpenSemaphore) owned by ntoskrnl.exe
  Entry 0x007f: 0x805b97fa (NtOpenSymbolicLinkObject) owned by ntoskrnl.exe
  Entry 0x0080: 0x805c15a2 (NtOpenThread) owned by ntoskrnl.exe
  Entry 0x0081: 0x805e3a9a (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0082: 0x805e3850 (NtOpenThreadTokenEx) owned by ntoskrnl.exe
  Entry 0x0083: 0x8060d25a (NtOpenTimer) owned by ntoskrnl.exe
  Entry 0x0084: 0x8063bfae (NtPlugPlayControl) owned by ntoskrnl.exe
  Entry 0x0085: 0x805bf3c6 (NtPowerInformation) owned by ntoskrnl.exe
  Entry 0x0086: 0x805ede88 (NtPrivilegeCheck) owned by ntoskrnl.exe
  Entry 0x0087: 0x805e9aae (NtPrivilegeObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0088: 0x805e9c9a (NtPrivilegedServiceAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0089: 0x805ada88 (NtProtectVirtualMemory) owned by ntoskrnl.exe
  Entry 0x008a: 0x80605386 (NtPulseEvent) owned by ntoskrnl.exe
  Entry 0x008b: 0x8056c140 (NtQueryAttributesFile) owned by ntoskrnl.exe
  Entry 0x008c: 0x8060cbec (NtQueryBootEntryOrder) owned by ntoskrnl.exe
  Entry 0x008d: 0x8060cbec (NtQueryBootOptions) owned by ntoskrnl.exe
  Entry 0x008e: 0x8053c05e (NtQueryDebugFilterState) owned by ntoskrnl.exe
  Entry 0x008f: 0x80606f12 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0090: 0x80607b72 (NtQueryDefaultUILanguage) owned by ntoskrnl.exe
  Entry 0x0091: 0x8056f0e6 (NtQueryDirectoryFile) owned by ntoskrnl.exe
  Entry 0x0092: 0x805b3e60 (NtQueryDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0093: 0x8056f43c (NtQueryEaFile) owned by ntoskrnl.exe
  Entry 0x0094: 0x8060544e (NtQueryEvent) owned by ntoskrnl.exe
  Entry 0x0095: 0x8056c294 (NtQueryFullAttributesFile) owned by ntoskrnl.exe
  Entry 0x0096: 0x8060c386 (NtQueryInformationAtom) owned by ntoskrnl.exe
  Entry 0x0097: 0x8056fcb8 (NtQueryInformationFile) owned by ntoskrnl.exe
