 Offset(P)  Session     WindowStation          Atom  RefCount    HIndex     Pinned   Name
 0xe92e9e0     0       Service-0x0-3e4$      0xc00e     1          14         1      Formats
 0xe92e9e0     0       Service-0x0-3e4$      0xc007     1          7          1      StdShowItem
 0xe92e9e0     0       Service-0x0-3e4$      0xc011     1          17         1      True
 0xe92e9e0     0       Service-0x0-3e4$      0xc010     1          16         1      EditEnvItems
 0xe92e9e0     0       Service-0x0-3e4$      0xc012     1          18         1      False
 0xe92e9e0     0       Service-0x0-3e4$      0xc015     1          21         1      Close
 0xe92e9e0     0       Service-0x0-3e4$      0xc004     1          4          1      StdEditDocument
 0xe92e9e0     0       Service-0x0-3e4$      0xc008     1          8          1      StdDoVerbItem
 0xe92e9e0     0       Service-0x0-3e4$      0xc003     1          3          1      StdOpenDocument
 0xe92e9e0     0       Service-0x0-3e4$      0xc005     1          5          1      StdNewfromTemplate
 0xe92e9e0     0       Service-0x0-3e4$      0xc014     1          20         1      Save
 0xe92e9e0     0       Service-0x0-3e4$      0xc016     1          22         1      MSDraw
 0xe92e9e0     0       Service-0x0-3e4$      0xc002     1          2          1      StdNewDocument
 0xe92e9e0     0       Service-0x0-3e4$      0xc00f     1          15         1      Status
 0xe92e9e0     0       Service-0x0-3e4$      0xc018     4          24         0      ThemePropScrollBarCtl
 0xe92e9e0     0       Service-0x0-3e4$      0xc009     1          9          1      System
 0xe92e9e0     0       Service-0x0-3e4$      0xc00b     1          11         1      StdDocumentName
 0xe92e9e0     0       Service-0x0-3e4$      0xc013     1          19         1      Change
 0xe92e9e0     0       Service-0x0-3e4$      0xc001     1          1          1      StdExit
 0xe92e9e0     0       Service-0x0-3e4$      0xc006     1          6          1      StdCloseDocument
 0xe92e9e0     0       Service-0x0-3e4$      0xc00a     1          10         1      OLEsystem
 0xe92e9e0     0       Service-0x0-3e4$      0xc017     1          23         1      CC32SubclassInfo
 0xd48ca68 ---------- ------------------     0xc004     1          4          1      Native
 0xd48ca68 ---------- ------------------     0xc00e     1          14         1      Object Descriptor
 0xd48ca68 ---------- ------------------     0xc00f     1          15         1      Link Source Descriptor
 0xd48ca68 ---------- ------------------     0xc017     1          23         1      Button
 0xd48ca68 ---------- ------------------     0xc044     60         68         0      msctls_updown32
 0xd48ca68 ---------- ------------------     0xc083     23        131         0      MSIMEMouseOperation
 0xd48ca68 ---------- ------------------     0xc095     4         149         0      WorkerW
 0xd48ca68 ---------- ------------------     0xc0aa     18        170         0      MSUIM.Msg.StubCleanUp
 0xd48ca68 ---------- ------------------     0xc0b8     1         184         0      CMBExecute
 0xd48ca68 ---------- ------------------     0xc0bc     9         188         0      FileContents
 0xd48ca68 ---------- ------------------     0xc0e0     2         224         0      VMwareUserControlClass
 0xd48ca68 ---------- ------------------     0xc0f9     1         249         0      Microsoft.Webcheck.Dialmon.IEXPLORER_EXITING
 0xd48ca68 ---------- ------------------     0xc0ff     8         255         0      C:\WINDOWS\system32\xpsp2res.dll
 0xd48ca68 ---------- ------------------     0xc002     1          2          1      ObjectLink
 0xd48ca68 ---------- ------------------     0xc02d     1          45         1      SysQOS
 0xd48ca68 ---------- ------------------     0xc04b     60         75         0      SysIPAddress32
 0xd48ca68 ---------- ------------------     0xc069     24        105         0      6.0.2600.6028!SysLink
 0xd48ca68 ---------- ------------------     0xc0ae     14        174         0      CicMarshalWndClass
 0xd48ca68 ---------- ------------------     0xc0e3     2         227         0      UnityHiddenWindowClass
 0xd48ca68 ---------- ------------------     0xc094     6         148         0      OLE_MESSAHE
 0xd48ca68 ---------- ------------------     0xc0bb     1         187         0      Net Resource
 0xd48ca68 ---------- ------------------     0xc0d2     3         210         0      XElementUnhandledSyschar
 0xd48ca68 ---------- ------------------     0xc0f8     1         248         0      Microsoft.Webcheck.Dialmon.SET_CONNECTOID_NAME
 0xd48ca68 ---------- ------------------     0xc102     1         258         0      DeskBand
 0xd48ca68 ---------- ------------------     0xc11e     2         286         0      CCF_SNAPIN_CLASSID
 0xd48ca68 ---------- ------------------     0xc122     2         290         0      DEVMGR_SNAPIN_DEVICE_ID
 0xd48ca68 ---------- ------------------     0xc019     1          25         1      Static
 0xd48ca68 ---------- ------------------     0xc031     1          49         1      SysLayer
 0xd48ca68 ---------- ------------------     0xc088     4         136         0      C:\WINDOWS\system32\MSGINA.dll
 0xd48ca68 ---------- ------------------     0xc0d4     1         212         0      UniformResourceLocatorW
 0xd48ca68 ---------- ------------------     0xc0ec     2         236         0      C:\WINDOWS\system32\winsrv.dll
 0xd48ca68 ---------- ------------------     0xc0ed     2         237         0      ConsoleWindowClass
 0xd48ca68 ---------- ------------------     0xc0f5     2         245         0      MSSCESSENUpgradeWindow
 0xd48ca68 ---------- ------------------     0xc112     2         274         0      C:\WINDOWS\system32\SHDOCVW.dll
 0xd48ca68 ---------- ------------------     0xc11a     4         282         0      AC_ItemActivate
 0xd48ca68 ---------- ------------------     0xc023     1          35         1      DDEMLUnicodeClient
 0xd48ca68 ---------- ------------------     0xc042     60         66         0      SysTreeView32
 0xd48ca68 ---------- ------------------     0xc092     2         146         0      SAGEWINDOWCLASS
 0xd48ca68 ---------- ------------------     0xc0f4     3         244         0      UntrustedDragDrop
 0xd48ca68 ---------- ------------------     0xc11b     2         283         0      Auto-Suggest Dropdown
 0xd48ca68 ---------- ------------------     0xc009     1          9          1      DataObject
 0xd48ca68 ---------- ------------------     0xc028     1          40         1      SysICS
 0xd48ca68 ---------- ------------------     0xc03d     60         61         0      tooltips_class32
 0xd48ca68 ---------- ------------------     0xc046     60         70         0      msctls_hotkey32
 0xd48ca68 ---------- ------------------     0xc048     60         72         0      SysMonthCal32
 0xd48ca68 ---------- ------------------     0xc049     60         73         0      SysDateTimePick32
 0xd48ca68 ---------- ------------------     0xc0fa     3         250         0      C:\WINDOWS\system32\stobject.dll
 0xd48ca68 ---------- ------------------     0xc108     2         264         0      c:\windows\system32\tapisrv.dll
 0xd48ca68 ---------- ------------------     0xc128     2         296         0      Job IDList Array
 0xd48ca68 ---------- ------------------     0xc032     1          50         1      ACTIVATESHELLWINDOW
 0xd48ca68 ---------- ------------------     0xc04a     60         74         0      ComboBoxEx32
 0xd48ca68 ---------- ------------------     0xc05f     24         95         0      6.0.2600.6028!SysPager
 0xd48ca68 ---------- ------------------     0xc070     24        112         0      commdlg_ShareViolation
 0xd48ca68 ---------- ------------------     0xc087     4         135         0      Link Window
 0xd48ca68 ---------- ------------------     0xc09d     2         157         0      TrayClockWClass
 0xd48ca68 ---------- ------------------     0xc0de     6         222         0      SysCredential
 0xd48ca68 ---------- ------------------     0xc0fc     2         252         0      Connections Tray
 0xd48ca68 ---------- ------------------     0xc039     1          57         1      FlashWState
 0xd48ca68 ---------- ------------------     0xc051     24         81         0      6.0.2600.6028!msctls_statusbar32
 0xd48ca68 ---------- ------------------     0xc053     24         83         0      6.0.2600.6028!SysHeader32
 0xd48ca68 ---------- ------------------     0xc063     24         99         0      6.0.2600.6028!Edit
 0xd48ca68 ---------- ------------------     0xc065     24        101         0      6.0.2600.6028!Combobox
 0xd48ca68 ---------- ------------------     0xc07a     16        122         0      MSCTFIME Composition
 0xd48ca68 ---------- ------------------     0xc0df     1         223         0      VMwareClipFormat
 0xd48ca68 ---------- ------------------     0xc10f     2         271         0      Afx:400000:b:10011:6:2201e1
 0xd48ca68 ---------- ------------------     0xc027     1          39         1      SysCH
 0xd48ca68 ---------- ------------------     0xc07f     23        127         0      MSIMEDocumentFeed
 0xd48ca68 ---------- ------------------     0xc08f     36        143         0      DUserUnSubClassMessage
 0xd48ca68 ---------- ------------------     0xc093     6         147         0      OM_POST_WM_COMMAND
 0xd48ca68 ---------- ------------------     0xc09a     1         154         0      Logoff User
 0xd48ca68 ---------- ------------------     0xc0bd     7         189         0      FileGroupDescriptor
 0xd48ca68 ---------- ------------------     0xc0c3     6         195         0      Preferred DropEffect
 0xd48ca68 ---------- ------------------     0xc08e     8         142         0      commctrl_DragListMsg
 0xd48ca68 ---------- ------------------     0xc0ef     5         239         0      00f70001
 0xd48ca68 ---------- ------------------     0xc104     2         260         0      UserEventWindow
 0xd48ca68 ---------- ------------------     0xc011     1          17         1      PBrush
 0xd48ca68 ---------- ------------------     0xc03a    606         58         0      ShellGetDragImage
 0xd48ca68 ---------- ------------------     0xc03f     60         63         0      SysListView32
 0xd48ca68 ---------- ------------------     0xc06a     24        106         0      ReaderModeCtl
 0xd48ca68 ---------- ------------------     0xc0f7     1         247         0      Microsoft.Webcheck.Dialmon.WINSOCK_ACTIVITY
 0xd48ca68 ---------- ------------------     0xc107     4         263         0      C:\WINDOWS\system32\NETSHELL.dll
 0xd48ca68 ---------- ------------------     0xc060     24         96         0      6.0.2600.6028!NativeFontCtl
 0xd48ca68 ---------- ------------------     0xc086     1         134         0      C:\WINDOWS\system32\uxtheme.dll
 0xd48ca68 ---------- ------------------     0xc0a7     18        167         0      MSUIM.Msg.RpcSendReceive
 0xd48ca68 ---------- ------------------     0xc0b1     2         177         0      Progman
 0xd48ca68 ---------- ------------------     0xc0e1     2         225         0      DragDetWndClass
 0xd48ca68 ---------- ------------------     0xc0f2     2         242         0      ATL:010B0D88
 0xd48ca68 ---------- ------------------     0xc0f6     2         246         0      MS_WebcheckMonitor
 0xd48ca68 ---------- ------------------     0xc029     1          41         1      SysIC
 0xd48ca68 ---------- ------------------     0xc043     60         67         0      msctls_trackbar32
 0xd48ca68 ---------- ------------------     0xc05a     24         90         0      6.0.2600.6028!SysAnimate32
 0xd48ca68 ---------- ------------------     0xc064     24        100         0      6.0.2600.6028!Listbox
 0xd48ca68 ---------- ------------------     0xc067     24        103         0      6.0.2600.6028!ScrollBar
 0xd48ca68 ---------- ------------------     0xc0a9     18        169         0      MSUIM.Msg.CheckThreadInputIdel
 0xd48ca68 ---------- ------------------     0xc0c1     1         193         0      PrinterFriendlyName
 0xd48ca68 ---------- ------------------     0xc0d5     1         213         0      GetAutomationObject
 0xd48ca68 ---------- ------------------     0xc0e7     7         231         0      C:\Program Files\VMware\VMware Tools\VMwareTray.exe
 0xd48ca68 ---------- ------------------     0xc121     2         289         0      DEVMGR_SNAPIN_CLASS_GUID
 0xd48ca68 ---------- ------------------     0xc01f     1          31         1      DDEMLEvent
 0xd48ca68 ---------- ------------------     0xc022     1          34         1      DDEMLAnsiClient
 0xd48ca68 ---------- ------------------     0xc03b     60         59         0      ToolbarWindow32
 0xd48ca68 ---------- ------------------     0xc0b9     1         185         0      CMBOpenChevronMenu
 0xd48ca68 ---------- ------------------     0xc0dd     1         221         0      WM_CUSTOM_SETFOCUS_TO_ACTION_BUTTON
 0xd48ca68 ---------- ------------------     0xc0e8     2         232         0      VMwareTrayIcon
 0xd48ca68 ---------- ------------------     0xc0e9     2         233         0      RICHEDIT50W
 0xd48ca68 ---------- ------------------     0xc02a     1          42         1      SHELLHOOK
 0xd48ca68 ---------- ------------------     0xc02e     1          46         1      SysDDEI
 0xd48ca68 ---------- ------------------     0xc045     60         69         0      msctls_progress32
 0xd48ca68 ---------- ------------------     0xc072     51        114         0      commdlg_ColorOK
 0xd48ca68 ---------- ------------------     0xc0e5     2         229         0      UnitySetTopWindowGroupClass
 0xd48ca68 ---------- ------------------     0xc118     1         280         0      CAEBAsyncNavigation
 0xd48ca68 ---------- ------------------     0xc11f     2         287         0      SNAPIN_INTERNAL
 0xd48ca68 ---------- ------------------     0xc12e     26        302         0      C:\WINDOWS\system32\SETUPAPI.dll
 0xd48ca68 ---------- ------------------     0xc00c     1          12         1      Custom Link Source
 0xd48ca68 ---------- ------------------     0xc014     1          20         1      Screen Picture
 0xd48ca68 ---------- ------------------     0xc025     1          37         1      DDEMLUnicodeServer
 0xd48ca68 ---------- ------------------     0xc034     1          52         1      OTHERWINDOWDESTROYED
 0xd48ca68 ---------- ------------------     0xc066     24        102         0      6.0.2600.6028!ComboLBox
 0xd48ca68 ---------- ------------------     0xc0a0     1         160         0      HardError
 0xd48ca68 ---------- ------------------     0xc0a3     18        163         0      MSUIM.Msg.SetFocus
 0xd48ca68 ---------- ------------------     0xc0b3     2         179         0      MenuSite
 0xd48ca68 ---------- ------------------     0xc0cb     3         203         0      NotRecyclable
 0xd48ca68 ---------- ------------------     0xc0dc     2         220         0      CicLoaderWndClass
